n,analytical_Pn,simulated_Pn,abs_error
0,0.5,0.5000674,6.74e-05
1,0.25,0.25017979,0.00017979
2,0.125,0.12541814,0.00041814
3,0.0625,0.06267566,0.00017566
4,0.03125,0.03146532,0.00021532
5,0.015625,0.01537929,0.00024571
6,0.0078125,0.00752205,0.00029045
7,0.00390625,0.00365931,0.00024694
8,0.00195312,0.00182929,0.00012383
9,0.00097656,0.00094353,3.303e-05
10,0.00048828,0.00042792,6.036e-05
11,0.00024414,0.00020707,3.707e-05
12,0.00012207,0.00011305,9.02e-06
13,6.104e-05,4.221e-05,1.883e-05
14,3.052e-05,3.19e-05,1.38e-06
15,1.526e-05,1.556e-05,3e-07
16,7.63e-06,7.25e-06,3.8e-07
17,3.81e-06,7.31e-06,3.5e-06
18,1.91e-06,5.73e-06,3.82e-06
19,9.5e-07,2.21e-06,1.26e-06
20,4.8e-07,0.0,4.8e-07
21,2.4e-07,0.0,2.4e-07
22,1.2e-07,0.0,1.2e-07
23,6e-08,0.0,6e-08
24,3e-08,0.0,3e-08
25,1e-08,0.0,1e-08
26,1e-08,0.0,1e-08
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
