x,empirical_P(X>x),theoretical_P(X>x),abs_error
57.8894,0.00305,0.00306123,1.123e-05
58.2915,0.00299,0.00294058,4.942e-05
58.6935,0.00292,0.00282471,9.529e-05
59.0955,0.00273,0.00271341,1.659e-05
59.4975,0.00267,0.00260649,6.351e-05
59.8995,0.00259,0.00250379,8.621e-05
60.3015,0.00249,0.00240513,8.487e-05
60.7035,0.00238,0.00231036,6.964e-05
61.1055,0.00232,0.00221933,0.00010067
61.5075,0.00218,0.00213188,4.812e-05
61.9095,0.00212,0.00204788,7.212e-05
62.3116,0.00207,0.00196717,0.00010283
62.7136,0.00193,0.00188966,4.034e-05
63.1156,0.00187,0.0018152,5.48e-05
63.5176,0.00181,0.00174368,6.632e-05
63.9196,0.00174,0.00167497,6.503e-05
64.3216,0.00168,0.00160897,7.103e-05
64.7236,0.00159,0.00154557,4.443e-05
65.1256,0.00153,0.00148467,4.533e-05
65.5276,0.00145,0.00142617,2.383e-05
65.9296,0.0014,0.00136998,3.002e-05
66.3317,0.00137,0.00131598,5.402e-05
66.7337,0.00132,0.00126413,5.587e-05
67.1357,0.00125,0.00121432,3.568e-05
67.5377,0.00119,0.00116647,2.353e-05
67.9397,0.00111,0.00112051,1.051e-05
68.3417,0.00107,0.00107636,6.36e-06
68.7437,0.00106,0.00103395,2.605e-05
69.1457,0.00098,0.00099321,1.321e-05
69.5477,0.00096,0.00095407,5.93e-06
69.9497,0.0009,0.00091648,1.648e-05
70.3518,0.0009,0.00088036,1.964e-05
70.7538,0.00088,0.00084567,3.433e-05
71.1558,0.00082,0.00081235,7.65e-06
71.5578,0.00077,0.00078034,1.034e-05
71.9598,0.00072,0.00074959,2.959e-05
72.3618,0.00071,0.00072006,1.006e-05
72.7638,0.0007,0.00069168,8.32e-06
73.1658,0.00065,0.00066443,1.443e-05
73.5678,0.00063,0.00063825,8.25e-06
73.9698,0.00062,0.0006131,6.9e-06
74.3719,0.00062,0.00058894,3.106e-05
74.7739,0.0006,0.00056573,3.427e-05
75.1759,0.00058,0.00054344,3.656e-05
75.5779,0.00057,0.00052203,4.797e-05
75.9799,0.00057,0.00050146,6.854e-05
76.3819,0.00055,0.0004817,6.83e-05
76.7839,0.00055,0.00046272,8.728e-05
77.1859,0.00049,0.00044449,4.551e-05
77.5879,0.00046,0.00042697,3.303e-05
77.9899,0.00046,0.00041015,4.985e-05
78.392,0.00045,0.00039398,5.602e-05
78.794,0.00042,0.00037846,4.154e-05
79.196,0.00041,0.00036355,4.645e-05
79.598,0.00039,0.00034922,4.078e-05
80.0,0.00035,0.00033546,1.454e-05
