x_bin_center,pdf_empirical,pdf_theoretical
0.28607025102198175,0.09580906026143596,0.09717983
0.8581455834638088,0.09268010171613454,0.09177644
1.4302209159056356,0.08584533751941469,0.08667349
2.0022962483474624,0.08257653725141828,0.08185428
2.5743715807892893,0.07703530898962749,0.07730302
3.1464469132311166,0.07374902850629411,0.07300482
3.7185222456729434,0.0692216527340424,0.06894561
4.29059757811477,0.06525364385257078,0.0651121
4.862672910556597,0.06254421047535448,0.06149174
5.434748242998424,0.05791195341108143,0.05807268
6.006823575440251,0.054905356373138176,0.05484373
6.578898907882078,0.05078002555363456,0.05179431
7.150974240323905,0.04798319109973394,0.04891445
7.723049572765733,0.04539611922987572,0.04619471
8.29512490520756,0.04389282071090416,0.04362619
8.867200237649387,0.04203991788519495,0.04120049
9.439275570091214,0.0393654449386524,0.03890966
10.01135090253304,0.03753002232828006,0.03674621
10.583426234974867,0.03455838572101056,0.03470305
11.155501567416694,0.034488464859663046,0.03277349
11.727576899858521,0.030695258131560217,0.03095122
12.299652232300348,0.029349281550620502,0.02923027
12.871727564742175,0.026674808604077956,0.02760501
13.443802897184003,0.02515402986976937,0.02607012
14.01587822962583,0.025573555037854554,0.02462057
14.587953562067657,0.023615770920124065,0.02325162
15.160028894509484,0.02167546701773045,0.02195879
15.73210422695131,0.020976258404255273,0.02073783
16.304179559393138,0.02046933215948577,0.01958477
16.876254891834964,0.018179423950354573,0.01849582
17.44833022427679,0.018039582227659536,0.01746742
18.020405556718618,0.015837075095212733,0.01649619
18.592480889160445,0.014665900667641812,0.01557897
19.164556221602272,0.014630940236968053,0.01471275
19.7366315540441,0.013197562579343944,0.01389469
20.308706886485925,0.01297031977996451,0.01312212
20.880782218927752,0.012096309013120542,0.01239251
21.45285755136958,0.011676783845035435,0.01170346
22.024932883811406,0.010365767694769481,0.01105272
22.597008216253233,0.011467021260992883,0.01043817
23.16908354869506,0.010138524895390048,0.00985779
23.741158881136887,0.009631598650620547,0.00930968
24.313234213578713,0.009072231759840406,0.00879204
24.88530954602054,0.00842546379237587,0.00830319
25.457384878462367,0.0072892497954787075,0.00784151
26.029460210904194,0.007079487211436155,0.00740551
26.60153554334602,0.007254289364804949,0.00699375
27.17361087578785,0.006467679674645337,0.00660488
27.745686208229678,0.006292877521276582,0.00623764
28.317761540671505,0.005855872137854597,0.00589081
28.88983687311333,0.0053489458930850945,0.00556327
29.46191220555516,0.005716030415159562,0.00525394
30.033987537996985,0.00548878761578013,0.00496181
30.606062870438812,0.00433509340354609,0.00468593
31.17813820288064,0.0044050142648936075,0.00442538
31.750213535322466,0.004212731896187935,0.00417932
32.32228886776429,0.004020449527482261,0.00394694
32.89436420020612,0.003775726512765949,0.00372749
33.46643953264795,0.0034960430673758786,0.00352023
34.03851486508977,0.003093998114627653,0.0033245
34.6105901975316,0.0027618740232269443,0.00313965
35.18266552997343,0.002744393807890065,0.00296508
35.754740862415254,0.0025521114391843917,0.00280021
36.32681619485708,0.0025171510085106328,0.00264452
36.89889152729891,0.0024122697164893564,0.00249748
37.470966859740734,0.0025171510085106328,0.00235861
38.04304219218256,0.0021325862710992864,0.00222747
38.61511752462439,0.0021500664864361656,0.00210362
39.187192857066215,0.0016256600263297837,0.00198665
39.75926818950804,0.0019053434717198542,0.00187619
40.33134352194987,0.0015382589496453867,0.00177187
40.903418854391695,0.0018529028257092159,0.00167335
41.47549418683352,0.0014508578729609898,0.00158031
42.04756951927535,0.0014858183036347487,0.00149244
42.619644851717176,0.00115369421223404,0.00140946
43.191720184159,0.0013284963656028338,0.00133109
43.76379551660083,0.0014508578729609898,0.00125708
44.33587084904266,0.0013284963656028338,0.00118718
44.90794618148448,0.0011711744275709195,0.00112117
45.48002151392631,0.0011362139968971608,0.00105883
46.05209684636814,0.0008215701208333316,0.00099996
46.624172178809964,0.0011012535662234019,0.00094436
47.19624751125179,0.0009614118435283667,0.00089185
47.76832284369362,0.0008914909821808491,0.00084226
48.340398176135444,0.0007691294748226933,0.00079543
48.91247350857727,0.0008740107668439697,0.0007512
49.4845488410191,0.0009089711975177285,0.00070944
50.056624173460925,0.0005418866754432612,0.00066999
50.62869950590275,0.0007691294748226933,0.00063274
51.20077483834458,0.0007166888288120552,0.00059756
51.772850170786405,0.00057684710611702,0.00056433
52.34492550322823,0.0006467679674645377,0.00053295
52.91700083567006,0.00057684710611702,0.00050332
53.489076168111886,0.00038456473741134667,0.00047533
54.06115150055371,0.0004195251680851054,0.0004489
54.63322683299555,0.0005244064601063754,0.00042394
55.205302165437374,0.00047196581409574364,0.00040037
55.7773774978792,0.00022724279937943212,0.00037811
56.34945283032103,0.00043700538342198483,0.00035709
56.921528162762854,0.0002971636607269497,0.00033723
57.49360349520468,0.00022724279937943212,0.00031848
58.06567882764651,0.00017480215336879393,0.00030077
58.637754160088335,0.00027968344539007034,0.00028405
59.20982949253016,0.00026220323005319093,0.00026826
59.78190482497199,0.00017480215336879393,0.00025334
60.353980157413815,0.00033212409140070845,0.00023925
60.92605548985564,0.0002447230147163115,0.00022595
61.49813082229747,0.00019228236870567333,0.00021339
62.070206154739296,0.00010488129202127636,0.00020152
62.64228148718112,0.00033212409140070845,0.00019032
63.21435681962295,0.00010488129202127636,0.00017974
63.786432152064776,0.00017480215336879612,0.00016974
64.35850748450659,0.00019228236870567333,0.0001603
64.93058281694843,0.00015732193803191455,0.00015139
65.50265814939024,0.00017480215336879393,0.00014297
66.07473348183208,8.740107668439696e-05,0.00013502
66.6468088142739,0.00017480215336879393,0.00012752
67.21888414671574,0.00013984172269503517,0.00012043
67.79095947915755,0.00017480215336879393,0.00011373
68.36303481159939,5.244064601063818e-05,0.00010741
68.9351101440412,0.00015732193803191455,0.00010143
69.50718547648304,0.00012236150735815576,9.579e-05
70.07926080892486,0.0,9.047e-05
70.6513361413667,8.740107668439696e-05,8.544e-05
71.22341147380851,0.00010488129202127636,8.069e-05
71.79548680625035,0.00013984172269503517,7.62e-05
72.36756213869216,0.0,7.196e-05
72.939637471134,0.00010488129202127636,6.796e-05
73.51171280357582,5.244064601063818e-05,6.418e-05
74.08378813601766,0.0,6.062e-05
74.65586346845947,6.992086134751758e-05,5.724e-05
75.22793880090131,1.7480215336879396e-05,5.406e-05
75.80001413334313,1.7480215336879396e-05,5.106e-05
76.37208946578497,1.7480215336879396e-05,4.822e-05
76.94416479822678,0.00012236150735815576,4.554e-05
77.51624013066862,3.496043067375879e-05,4.3e-05
78.08831546311043,1.7480215336879396e-05,4.061e-05
78.66039079555227,6.992086134751758e-05,3.836e-05
79.23246612799409,1.7480215336879396e-05,3.622e-05
79.80454146043593,8.740107668439696e-05,3.421e-05
80.37661679287774,3.496043067375879e-05,3.231e-05
80.94869212531958,5.244064601063818e-05,3.051e-05
81.5207674577614,0.0,2.881e-05
82.09284279020324,1.7480215336879396e-05,2.721e-05
82.66491812264505,0.0,2.57e-05
83.23699345508689,1.7480215336879396e-05,2.427e-05
83.8090687875287,3.496043067375879e-05,2.292e-05
84.38114411997054,1.7480215336879396e-05,2.165e-05
84.95321945241236,1.7480215336879396e-05,2.044e-05
85.5252947848542,1.7480215336879396e-05,1.931e-05
86.09737011729601,5.244064601063818e-05,1.823e-05
86.66944544973785,0.0,1.722e-05
87.24152078217966,3.496043067375879e-05,1.626e-05
87.8135961146215,1.7480215336879396e-05,1.536e-05
88.38567144706332,1.7480215336879396e-05,1.45e-05
88.95774677950516,0.0,1.37e-05
89.52982211194697,0.0,1.294e-05
90.10189744438881,0.0,1.222e-05
90.67397277683062,1.7480215336879396e-05,1.154e-05
91.24604810927246,1.7480215336879396e-05,1.09e-05
91.81812344171428,3.496043067375879e-05,1.029e-05
92.39019877415612,1.7480215336879396e-05,9.72e-06
92.96227410659793,1.7480215336879396e-05,9.18e-06
93.53434943903977,0.0,8.67e-06
94.10642477148158,0.0,8.18e-06
94.67850010392343,0.0,7.73e-06
95.25057543636524,1.7480215336879396e-05,7.3e-06
95.82265076880708,1.7480215336879396e-05,6.89e-06
96.39472610124889,1.7480215336879396e-05,6.51e-06
96.96680143369073,0.0,6.15e-06
97.53887676613255,1.7480215336879396e-05,5.81e-06
98.11095209857439,0.0,5.48e-06
98.6830274310162,1.7480215336879396e-05,5.18e-06
99.25510276345804,0.0,4.89e-06
99.82717809589985,0.0,4.62e-06
100.3992534283417,1.7480215336879396e-05,4.36e-06
100.9713287607835,0.0,4.12e-06
101.54340409322535,0.0,3.89e-06
102.11547942566716,0.0,3.67e-06
102.687554758109,0.0,3.47e-06
103.25963009055081,3.496043067375879e-05,3.28e-06
103.83170542299266,0.0,3.09e-06
104.40378075543447,1.7480215336879396e-05,2.92e-06
104.97585608787631,0.0,2.76e-06
105.54793142031812,0.0,2.61e-06
106.12000675275996,0.0,2.46e-06
106.69208208520178,0.0,2.32e-06
107.26415741764362,0.0,2.2e-06
107.83623275008543,0.0,2.07e-06
108.40830808252727,0.0,1.96e-06
108.98038341496908,0.0,1.85e-06
109.55245874741092,0.0,1.75e-06
110.12453407985276,0.0,1.65e-06
110.69660941229458,0.0,1.56e-06
111.26868474473642,0.0,1.47e-06
111.84076007717823,0.0,1.39e-06
112.41283540962007,0.0,1.31e-06
112.98491074206189,0.0,1.24e-06
113.55698607450373,0.0,1.17e-06
114.12906140694554,1.7480215336879396e-05,1.11e-06
