n,analytical_Pn,simulated_Pn,abs_error
0,0.75,0.74952387,0.00047613
1,0.1875,0.18746452,3.548e-05
2,0.046875,0.04716371,0.00028871
3,0.01171875,0.01190229,0.00018354
4,0.00292969,0.00299563,6.594e-05
5,0.00073242,0.00070664,2.578e-05
6,0.00018311,0.00019038,7.27e-06
7,4.578e-05,4.15e-05,4.28e-06
8,1.144e-05,8.28e-06,3.16e-06
9,2.86e-06,1.7e-06,1.16e-06
10,7.2e-07,1.47e-06,7.5e-07
11,1.8e-07,0.0,1.8e-07
12,4e-08,0.0,4e-08
13,1e-08,0.0,1e-08
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
