[0/2] Re-checking globbed directories...
ninja: no work to do.
n Pn
0 0.502963
1 0.250829
2 0.123564
3 0.0617047
4 0.030172
5 0.0151427
6 0.00754461
7 0.00407654
8 0.00200284
9 0.000983855
10 0.000496084
11 0.000282817
12 0.00015286
13 6.72736e-05
14 1.60447e-05
15 9.00755e-07
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
