[0/2] Re-checking globbed directories...
ninja: no work to do.
n Pn
0 0.750456
1 0.187963
2 0.0462119
3 0.0114707
4 0.00291256
5 0.000732453
6 0.000207601
7 3.30729e-05
8 1.13957e-05
9 1.68457e-06
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
